service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2020-M01_APCA-Semaine-11,1,1,1,1,1,0,0,20200507,20200507
2020-M01_CPCA-Dimanche-11,0,0,0,0,0,0,1,20200508,20200524
2020-M01_BPCA-Samedi-11,0,0,0,0,0,1,0,20200509,20200523
2020-M01_APCA-Semaine-16,1,1,1,1,1,0,0,20200511,20200522
2020-M01_A-Lun-Mer-07,1,1,1,0,0,0,0,20200525,20200630
2020-M01_A-Jeu-Ven-08,0,0,0,1,1,0,0,20200528,20200626
2020-M01_A-Jeu-Ven-08-0001100,0,0,0,1,1,0,0,20200528,20200626
2020-M01_B-Samedi-02,0,0,0,0,0,1,0,20200530,20200627
2020-M01_C-Dimanche-04,0,0,0,0,0,0,1,20200531,20200628
2020-M02_APCA-Semaine-11,1,1,1,1,1,0,0,20200507,20200507
2020-M02_CPCA-Dimanche-11,0,0,0,0,0,0,1,20200508,20200524
2020-M02_BPCA-Samedi-11,0,0,0,0,0,1,0,20200509,20200523
2020-M02_APCA-Semaine-16,1,1,1,1,1,0,0,20200511,20200522
2020-M02_A-Lun-Mer-07,1,1,1,0,0,0,0,20200525,20200630
2020-M02_A-Jeu-Ven-08,0,0,0,1,1,0,0,20200528,20200626
2020-M02_A-Jeu-Ven-08-0001100,0,0,0,1,1,0,0,20200528,20200626
2020-M02_B-Samedi-02,0,0,0,0,0,1,0,20200530,20200627
2020-M02_C-Dimanche-03,0,0,0,0,0,0,1,20200531,20200628
2020-M04_APCA-Semaine-11,1,1,1,1,1,0,0,20200507,20200507
2020-M04_CPCA-Dimanche-11,0,0,0,0,0,0,1,20200508,20200524
2020-M04_BPCA-Samedi-11,0,0,0,0,0,1,0,20200509,20200523
2020-M04_APCA-Semaine-16,1,1,1,1,1,0,0,20200511,20200522
2020-M04_A-Lun-Mer-03,1,1,1,0,0,0,0,20200525,20200630
2020-M04_A-Jeu-Ven-04,0,0,0,1,1,0,0,20200528,20200626
2020-M04_A-Jeu-Ven-04-0001100,0,0,0,1,1,0,0,20200528,20200626
2020-M04_B3-Samedi-01,0,0,0,0,0,1,0,20200530,20200627
2020-M04_C3-Dimanche-01,0,0,0,0,0,0,1,20200531,20200628
2020-M05_APCA-Semaine-11,1,1,1,1,1,0,0,20200507,20200507
2020-M05_CPCA-Dimanche-11,0,0,0,0,0,0,1,20200508,20200524
2020-M05_BPCA-Samedi-11,0,0,0,0,0,1,0,20200509,20200523
2020-M05_APCA-Semaine-16,1,1,1,1,1,0,0,20200511,20200522
2020-M05_A-Lun-Mer-06,1,1,1,0,0,0,0,20200525,20200630
2020-M05_A-Jeu-Ven-07,0,0,0,1,1,0,0,20200528,20200626
2020-M05_A-Jeu-Ven-07-0001100,0,0,0,1,1,0,0,20200528,20200626
2020-M05_B-Samedi-03,0,0,0,0,0,1,0,20200530,20200627
2020-M05_C-Dimanche-05,0,0,0,0,0,0,1,20200531,20200628
2020-M07_APCA-Semaine-11,1,1,1,1,1,0,0,20200507,20200507
2020-M07_CPCA-Dimanche-11,0,0,0,0,0,0,1,20200508,20200510
2020-M07_BPCA-Samedi-11,0,0,0,0,0,1,0,20200509,20200509
2020-M07_APCA-Semaine-15,1,1,1,1,1,0,0,20200511,20200522
2020-M07_BPCA-Samedi-15,0,0,0,0,0,1,0,20200516,20200523
2020-M07_CPCA-Dimanche-15,0,0,0,0,0,0,1,20200517,20200524
2020-M07_A-Lun-Mer-01,1,1,1,0,0,0,0,20200525,20200630
2020-M07_A-Jeu-Ven-02,0,0,0,1,1,0,0,20200528,20200626
2020-M07_A-Jeu-Ven-02-0001100,0,0,0,1,1,0,0,20200528,20200626
2020-M07_B-Samedi-01,0,0,0,0,0,1,0,20200530,20200627
2020-M07_C-Dimanche-01,0,0,0,0,0,0,1,20200531,20200628
2020-M08_APCA-Semaine-11,1,1,1,1,1,0,0,20200507,20200507
2020-M08_CPCA-Dimanche-11,0,0,0,0,0,0,1,20200508,20200524
2020-M08_BPCA-Samedi-11,0,0,0,0,0,1,0,20200509,20200523
2020-M08_APCA-Semaine-16,1,1,1,1,1,0,0,20200511,20200522
2020-M08_A-Lun-Mer-05,1,1,1,0,0,0,0,20200525,20200630
2020-M08_A-Jeu-Ven-06,0,0,0,1,1,0,0,20200528,20200626
2020-M08_A-Jeu-Ven-06-0001100,0,0,0,1,1,0,0,20200528,20200626
2020-M08_B-Samedi-01,0,0,0,0,0,1,0,20200530,20200627
2020-M08_C-Dimanche-01,0,0,0,0,0,0,1,20200531,20200628
2020-M09_APCA-Semaine-11,1,1,1,1,1,0,0,20200507,20200507
2020-M09_CPCA-Dimanche-11,0,0,0,0,0,0,1,20200508,20200524
2020-M09_BPCA-Samedi-11,0,0,0,0,0,1,0,20200509,20200523
2020-M09_APC2-Semaine-16,1,1,1,1,1,0,0,20200511,20200522
2020-M09_A-Lun-Mer-05,1,1,1,0,0,0,0,20200525,20200630
2020-M09_A-Jeu-Ven-06,0,0,0,1,1,0,0,20200528,20200626
2020-M09_A-Jeu-Ven-06-0001100,0,0,0,1,1,0,0,20200528,20200626
2020-M09_B-Samedi-06,0,0,0,0,0,1,0,20200530,20200627
2020-M09_C-Dimanche-03,0,0,0,0,0,0,1,20200531,20200628
2020-M10_APCA-Semaine-11,1,1,1,1,1,0,0,20200507,20200507
2020-M10_CPCA-Dimanche-11,0,0,0,0,0,0,1,20200508,20200524
2020-M10_BPCA-Samedi-11,0,0,0,0,0,1,0,20200509,20200523
2020-M10_APCA-Semaine-17,1,1,1,1,1,0,0,20200511,20200522
