service_id,date,exception_type
2020-M01_CPCA-Dimanche-11,20200508,1
2020-M01_CPCA-Dimanche-11,20200521,1
2020-M01_APCA-Semaine-16,20200521,2
2020-M02_CPCA-Dimanche-11,20200508,1
2020-M02_CPCA-Dimanche-11,20200521,1
2020-M02_APCA-Semaine-16,20200521,2
2020-M04_CPCA-Dimanche-11,20200508,1
2020-M04_CPCA-Dimanche-11,20200521,1
2020-M04_APCA-Semaine-16,20200521,2
2020-M05_CPCA-Dimanche-11,20200508,1
2020-M05_CPCA-Dimanche-11,20200521,1
2020-M05_APCA-Semaine-16,20200521,2
2020-M07_CPCA-Dimanche-11,20200508,1
2020-M07_APCA-Semaine-15,20200521,2
2020-M07_CPCA-Dimanche-15,20200521,1
2020-M08_CPCA-Dimanche-11,20200508,1
2020-M08_CPCA-Dimanche-11,20200521,1
2020-M08_APCA-Semaine-16,20200521,2
2020-M09_CPCA-Dimanche-11,20200508,1
2020-M09_CPCA-Dimanche-11,20200521,1
2020-M09_APC2-Semaine-16,20200521,2
2020-M10_CPCA-Dimanche-11,20200508,1
2020-M10_CPCA-Dimanche-11,20200521,1
2020-M10_APCA-Semaine-17,20200521,2
2020-M11_CPCA-Dimanche-12,20200508,1
2020-M11_CPCA-Dimanche-12,20200521,1
2020-M11_APCA-Semaine-16,20200521,2
2020-M15_CPCA-Dimanche-11,20200508,1
2020-M15_CPCA-Dimanche-11,20200521,1
2020-M15_APCA-Semaine-16,20200521,2
2020-M16_CPCA-Dimanche-12,20200508,1
2020-M16_CPCA-Dimanche-12,20200521,1
2020-M16_APCA-Semaine-16,20200521,2
2020-M20_CPCA-Dimanche-12,20200508,1
2020-M20_CPCA-Dimanche-12,20200521,1
2020-M20_APCA-Semaine-16,20200521,2
2020-M21_C2-Dimanche-01,20200508,1
2020-M21_C2-Dimanche-01,20200521,1
2020-M21_APCA-Semaine-15,20200521,2
2020-M22_CPCA-Dimanche-11,20200508,1
2020-M22_APCA-Semaine-15,20200521,2
2020-M22_CPCA-Dimanche-15,20200521,1
2020-M23_CPCA-Dimanche-12,20200508,1
2020-M23_CPCA-Dimanche-12,20200521,1
2020-M23_APCA-Semaine-16,20200521,2
2020-M25_APCA-Semaine-15,20200521,2
2020-M26_APCA-Semaine-16,20200521,2
2020-M27_CPCA-Dimanche-11,20200508,1
2020-M27_CPCA-Dimanche-11,20200521,1
2020-M27_APCA-Semaine-16,20200521,2
2020-M29_APCA-Semaine-16,20200521,2
2020-M30_C-Dimanche-09,20200508,1
2020-M30_C-Dimanche-09,20200521,1
2020-M30_A-Semaine-15,20200521,2
2020-M32_APCA-Semaine-15,20200521,2
2020-M35_CPCA-Dimanche-12,20200508,1
2020-M35_CPCA-Dimanche-12,20200521,1
2020-M33_APCA-Semaine-16,20200521,2
2020-M34_APCA-Semaine-16,20200521,2
2020-M36_A3-Semaine-03,20200521,2
2020-M37_APCA-L-Ma-J-V-16,20200521,2
2020-M37_APCA-L-Ma-J-V-16-1101100,20200521,2
2020-M38_CPCA-Dimanche-11,20200508,1
2020-M38_APCA-Semaine-15,20200521,2
2020-M38_CPCA-Dimanche-15,20200521,1
2020-M40_APCA-Semaine-16,20200521,2
2020-M41_APCA-Semaine-16,20200521,2
2020-M42_APCA-Semaine-16,20200521,2
2020-M43_APCA-Semaine-15,20200521,2
2020-M43_C-Dimanche-01,20200521,1
2020-M44_A3-Semaine-01,20200521,2
2020-M45_APCA-Semaine-16,20200521,2
2020-M46_A2-Semaine-01,20200521,2
2020-M49_A-Semaine-01,20200521,2
2020-M68_C-Dimanche-01,20200508,1
2020-M68_C-Dimanche-01,20200521,1
2020-M69_A-Semaine-03,20200521,2
2020-M69_C-Dimanche-01,20200521,1
2020-M71_APCA-Semaine-15,20200521,2
2020-M71_C2-Dimanche-02,20200521,1
2020-M72_A1-Semaine-03,20200521,2
2020-M75_C-Dimanche-01,20200508,1
2020-M75_C-Dimanche-01,20200521,1
2020-M76_A1-Semaine-01,20200521,2
2020-M80_A-Semaine-01,20200521,2
2020-M80_A-Semaine-01-0010000,20200521,2
2020-M83_A1-Semaine-03,20200521,2
2020-M84_CPCA-Dimanche-11,20200508,1
2020-M84_A1-Semaine-01,20200521,2
2020-M84_C-Dimanche-01,20200521,1
2020-M89_A-Semaine-01,20200521,2
2020-M90_CPCA-Dimanche-11,20200508,1
2020-M90_APCA-Semaine-15,20200521,2
2020-M90_APCA-Semaine-15-1111000,20200521,2
2020-M90_APCA-Semaine-15-0000100,20200521,2
2020-M90_C-Dimanche-02,20200521,1
2020-M91_C-Dimanche-02,20200508,1
2020-M91_C-Dimanche-02,20200521,1
2020-M91_A-Semaine-03,20200521,2
2020-M91_A-Semaine-03-1101100,20200521,2
2020-M91_A-Semaine-03-0010000,20200521,2
2020-M93_A-Semaine-02,20200521,2
2020-M93_A-Semaine-02-0010000,20200521,2
2020-M93_A-Semaine-02-1101100,20200521,2
