route_id,service_id,trip_id,trip_headsign,block_id,direction_id
01,2020-M01_A-Lun-Mer-07,21660378-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650382,0
01,2020-M01_A-Lun-Mer-07,21660379-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650386,0
01,2020-M01_A-Lun-Mer-07,21660380-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650387,0
01,2020-M01_A-Lun-Mer-07,21660381-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650398,0
01,2020-M01_A-Lun-Mer-07,21660382-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650390,0
01,2020-M01_A-Lun-Mer-07,21660383-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650382,0
01,2020-M01_A-Lun-Mer-07,21660384-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650385,0
01,2020-M01_A-Lun-Mer-07,21660385-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650393,0
01,2020-M01_A-Lun-Mer-07,21660386-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650405,0
01,2020-M01_A-Lun-Mer-07,21660387-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650386,0
01,2020-M01_A-Lun-Mer-07,21660388-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650388,0
01,2020-M01_A-Lun-Mer-07,21660389-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650387,0
01,2020-M01_A-Lun-Mer-07,21660390-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650392,0
01,2020-M01_A-Lun-Mer-07,21660391-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650397,0
01,2020-M01_A-Lun-Mer-07,21660392-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650394,0
01,2020-M01_A-Lun-Mer-07,21660393-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650398,0
01,2020-M01_A-Lun-Mer-07,21660394-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650395,0
01,2020-M01_A-Lun-Mer-07,21660395-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650390,0
01,2020-M01_A-Lun-Mer-07,21660396-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650382,0
01,2020-M01_A-Lun-Mer-07,21660397-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650408,0
01,2020-M01_A-Lun-Mer-07,21660398-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650391,0
01,2020-M01_A-Lun-Mer-07,21660399-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650385,0
01,2020-M01_A-Lun-Mer-07,21660400-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650393,0
01,2020-M01_A-Lun-Mer-07,21660401-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650405,0
01,2020-M01_A-Lun-Mer-07,21660402-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650386,0
01,2020-M01_A-Lun-Mer-07,21660403-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650388,0
01,2020-M01_A-Lun-Mer-07,21660404-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650396,0
01,2020-M01_A-Lun-Mer-07,21660405-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650392,0
01,2020-M01_A-Lun-Mer-07,21660406-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650397,0
01,2020-M01_A-Lun-Mer-07,21660407-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650383,0
01,2020-M01_A-Lun-Mer-07,21660408-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650398,0
01,2020-M01_A-Lun-Mer-07,21660409-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650382,0
01,2020-M01_A-Lun-Mer-07,21660410-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650408,0
01,2020-M01_A-Lun-Mer-07,21660411-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650391,0
01,2020-M01_A-Lun-Mer-07,21660412-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650385,0
01,2020-M01_A-Lun-Mer-07,21660413-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650393,0
01,2020-M01_A-Lun-Mer-07,21660414-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650405,0
01,2020-M01_A-Lun-Mer-07,21660415-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650386,0
01,2020-M01_A-Lun-Mer-07,21660416-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650400,0
01,2020-M01_A-Lun-Mer-07,21660417-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650388,0
01,2020-M01_A-Lun-Mer-07,21660418-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650401,0
01,2020-M01_A-Lun-Mer-07,21660419-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650397,0
01,2020-M01_A-Lun-Mer-07,21660420-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650383,0
01,2020-M01_A-Lun-Mer-07,21660421-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650398,0
01,2020-M01_A-Lun-Mer-07,21660422-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650382,0
01,2020-M01_A-Lun-Mer-07,21660423-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650408,0
01,2020-M01_A-Lun-Mer-07,21660424-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650391,0
01,2020-M01_A-Lun-Mer-07,21660425-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650385,0
01,2020-M01_A-Lun-Mer-07,21660426-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650393,0
01,2020-M01_A-Lun-Mer-07,21660427-2020-M01_A-Lun-Mer-07,"MERIGNAC Aéroport",3650405,0
