service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2020-TRAM_PCA-Semaine-24,1,1,1,1,1,0,0,20200507,20200507
2020-TRAM_PCA-Dimanche-22,0,0,0,0,0,0,1,20200508,20200508
2020-TRAM_PCA-Samedi-22,0,0,0,0,0,1,0,20200509,20200509
2020-TRAM_PCA-Dimanche-23,0,0,0,0,0,0,1,20200510,20200510
2020-TRAM_PCA-Semaine-27,1,1,1,1,1,0,0,20200511,20200522
2020-TRAM_PCA-Samedi-26,0,0,0,0,0,1,0,20200516,20200523
2020-TRAM_PCA-Dimanche-26,0,0,0,0,0,0,1,20200517,20200524
2020-TRAM_A1-Lun-Mer-45,1,1,1,0,0,0,0,20200525,20200630
2020-TRAM_A1-Jeu-Ven-46,0,0,0,1,1,0,0,20200528,20200626
2020-TRAM_B1-Samedi-17,0,0,0,0,0,1,0,20200530,20200627
2020-TRAM_C1-Dimanche-25,0,0,0,0,0,0,1,20200531,20200628
